question	output	answer
Give me all tv shows which are based in boston and massachusetts?	Cheers, Boston EMS (TV series), Save My Life: Boston Trauma, Evening at Pops, Penny Arcade Expo	The television shows located in Boston and Massachusetts are Cheers, Boston EMS (TV series), Save My Life: Boston Trauma, Evening at Pops, Penny Arcade Expo.
What things have founded place as United States and New Mexico?	Microsoft, Flying Star (restaurant), Gen4 Energy	The things founded in the United States and New Mexico are Microsoft, Flying Star (restaurant), Gen4 Energy.
List the newspapers whose offices are situated in 1211 Avenue of the Americas?	The Wall Street Journal, New York Post	The newspapers whose headquarter is 1211 Avenue of the Americas are The Wall Street Journal, New York Post.
How many people have led agencies in German occupied Europe?	39	There are 39 leaders of the agencies whose jurisdiction is German-occupied Europe.
Which job of Irving Chernev is the non-fiction subject of the Thud ?	Chess	The profession of Irving Chernev and the non-fiction subject of the Thud! is Chess.
What are the different religions followed by presidents whose prime minister was Surayud Chulanont?	Buddhism	Buddhism is the religion of the president with Surayud Chulanont as a prime minister.
The people who did their high school in Palm City, Florida did their college where?	Tulane University	Tulane University is the college of the people who graduated high school from Palm City, Florida.
In which part of the world will I find Kim Sawchuk and Vuelta Mexico Telmex?	North America	The common region of Kim Sawchuk and Vuelta Mexico Telmex is North America.
The successor of Ulrich II, Count of East Frisia was born in what place?	Germany, Aurich	Germany, Aurich is the birth place of the monarch who is the successor of Ulrich II, Count of East Frisia.
Name the notable work by Russell T Davis which is also the series of Doctor Who:Destiny of the Doctors ?	Doctor Who	Doctor Who is the notablework of Russell T Davies and series of the Doctor Who: Destiny of the Doctors.
Which destination of the Novair International Airways is also the predecessor of the Chevrolet Caprice?	North America	North America is the destination of the Novair International Airways and predecessor of the Chevrolet Caprice.
Name some shows whose company is owned by the CBS Corporation?	answer	The television shows whose company is owned by CBS Corporation are answer.
What awards have the narrator of the Cries and Whispers won?	Academy Awards, Goethe Prize, Praemium Imperiale	The awards of the narrator of Cries and Whispers are Academy Awards, Goethe Prize, Praemium Imperiale.
Name the companies which are in cities under Denzil Minnan Wong?	answer	The companies located in the city whose leader is Denzil Minnan-Wong are answer.
Mouse Morris' horses have raced in which races?	Killiney Novice Chase, Irish Grand National, Punchestown Gold Cup, Ryanair Novice Chase, Cheltenham Gold Cup	The races of the horses trained by Mouse Morris are Killiney Novice Chase, Irish Grand National, Punchestown Gold Cup, Ryanair Novice Chase, Cheltenham Gold Cup.
Name a queen whose parent is Ptolemy XII Auletes and consort is Ptolemy XIII Theos Philopator?	Cleopatra	Cleopatra is the royalty whose parent is Ptolemy XII Auletes and partner is Ptolemy XIII Theos Philopator.
Which company has a product named Visual Studio and One Drive as service ?	Microsoft	Microsoft is the company whose services is OneDrive and has Microsoft Visual Studio as a product.
What is the layout of the automobiles whose designer company is Olivier Boulay?	Front-engine, rear-wheel-drive layout, Front-engine, front-wheel-drive layout, Front-engine design, Four-wheel drive, Front-wheel drive, Mid-engine design, Automobile layout, Front-engine, four-wheel-drive layout, North America	The layouts of the automobiles designed by Olivier Boulay company are Front-engine, rear-wheel-drive layout, Front-engine, front-wheel-drive layout, Front-engine design, Four-wheel drive, Front-wheel drive, Mid-engine design, Automobile layout, Front-engine, four-wheel-drive layout, North America.
Which things have been located, where governance is Houston City Council?	answer	The things located in places governed by Houston City Council are answer.
Is Bluebird the grandsire of Miss Potential?	Yes	Yes, Bluebird is the grandsire of Miss Potential.
What are the awards won by the producer of Puss in Boots (film)?	Academy Awards, Golden Globe Cecil B. DeMille Award, Emmy Award	The awards of the producer of Puss in Boots film are Academy Awards, Golden Globe Cecil B. DeMille Award, Emmy Award.
How many artists have their works in the Sao Paolo Museum of Art?	9	There are 9 artists whose artworks is in So Paulo Museum of Art.
Where can i find salad based food?	North America, Great Britain	The states with the food whose main ingredient is salad are North America, Great Britain.
What work has been directed by Orson Welles and distributed by RKO Pictures?	Citizen Kane, The Magnificent Ambersons (film), The Stranger (1946 film)	The works directed by Orson Welles and distributed by RKO Pictures are Citizen Kane, The Magnificent Ambersons (film), The Stranger (1946 film).
How many games have a composer who worked for the Creatures?	29	There are 29 video games composed by the person who works for the Creatures company.
Who are some cofounders of record labels with Frank Rogers?	Brad Paisley, Frank Rogers (record producer), Chris DuBois	Some cofounders of record labels with Frank Rogers are Brad Paisley, Frank Rogers (record producer), Chris DuBois.
Name the sea whose inflow is Kemijoki and outflow is Danish straits?	Baltic Sea	Baltic Sea is the sea whose inflow is Kemijoki and outflow is Danish straits.
Which owner of Drop.io made Sean Parker famous?	Facebook	Facebook is the owner of Drop.io and the reason Sean Parker is famous.
Who is the pole driver of 1992 Canadian Grand Prix?	Ayrton Senna	Ayrton Senna is the pole driver of the 1992 Canadian Grand Prix.
Count the awards given to the recepients of the Becket fund for religious liberty.	12	There are 12 awards of the people whose one award is Becket Fund for Religious Liberty.
What is Bob Adams (American football) known for?	National Football League, Tight end, Scientology official	Bob Adams (American football) is known for National Football League, Tight end, Scientology official.
What are some TV shows whose voice actors are from Truckee, California, US?	South Park, El Tigre: The Adventures of Manny Rivera	The television shows voiced by people born in Truckee, California are South Park, El Tigre: The Adventures of Manny Rivera.
Who authored the works published in the Jump Square Magazine?	answer	The authors of the works published in the Jump Square magazine are answer.
Paris Sisters singles are of which language?	Slovakia	Slovakia is the language of the single from The Paris Sisters musical band.
What were robert sarvis and Jack Ryan nominated for ?	United States Senate	Robert Sarvis and Jack Ryan nominated for United States Senate.
Is camel of the chordate phylum?	Yes	Yes, chordate is the phylum of camel.
What are some tv shows created by Simon Fuller?	answer	The television shows created by Simon Fuller are answer.
Who was member of boards at Royal Society and Trinity House?	Samuel Pepys	Samuel Pepys is the member of boards at Royal Society and Trinity House.
Name the musician who gave the music in Tonight's the night and is also wedded to Alana Stewart ?	Rod Stewart	Rod Stewart is the musician of Tonight's the Night and wedded to of the Alana Stewart.
What is the place of birth of the Kira Plastinina and Sergey Ryazansky?	Moscow, Russia	The common place of birth of Kira Plastinina and Sergey Ryazansky is Moscow, Russia.
What is the affiliation of Lumbini Bauddha University ?	Buddhism	Buddhism is the affiliation of Lumbini Bauddha University.
Titus software publishes which genre of games?	Music video game, Platform game, Music game, Racing video game, Fighting game, Isometric projection, Strategy, Puzzle video game, Chess, Shooter game	The genres of the video games published by Titus Software are Music video game, Platform game, Music game, Racing video game, Fighting game, Isometric projection, Strategy, Puzzle video game, Chess, Shooter game.
What is the Band whose band member is Mark Middleton?	Blackstreet	Blackstreet is the band with member Mark Middleton.
Name the company which provides Outlook.com as service and also has a product named Microsoft Azure?	Microsoft	The company whose service is Outlook.com and product is Microsoft Azure is Microsoft.
Who was succeeded by Arthur Gegei as the office holder ?	Lajos Kossuth	The office holder whose successor was Artr Grgei is Lajos Kossuth.
Which district of Thorington railway station is the location of death of  David Lewis (poet) ?	Essex	The district of Thorington railway station and the location of death of the David Lewis (poet) is Essex.
What does the river flow into, whose left tributary is Bukovica?	Croatia	Croatia is the mouth country of the river whose left tributary is Bukovica.
Is Ella Fitzgerald associated with Mickey Roker?	Yes	Yes, Ella Fitzgerald is the associated band of Mickey Roker.
What are the houses of the legislature where the leader is called Pullaiahgaripalli ?	Rajya Sabha, Lok Sabha	Rajya Sabha, Lok Sabha are the houses of the legislature where the leader is called Pullaiahgaripalli.
List the battles fought by Roh Tae-woo?	Vietnam War	The battle fought by Roh Tae-woo is Vietnam War.
How many people have worked in the band one of whose current member is Hynief?	3	There are 3 members of the bands whose one current member is Hynief.
Name a company with one of the key person as Edwin Catmull and produces RenderMan?	Pixar	Pixar is the company with key person Edwin Catmull and product RenderMan software.
What have some famous Christians died of?	answer	The death cause of some people whose denomination is Christianity are answer.
What is the television show whose judges is Randy Jackson?	American Idol	American Idol is the television show with judge Randy Jackson.
What is the draft team of the ice hockey players whose position is Centre ?	answer	The draft teams of the ice hockey players who play in Centre position are answer.
Greek writers have won which award?	Nobel Prize	Nobel Prize is the award of the writers who belong to Greeks ethnic group.
Did Bob Suci play for the New England Patriots?	Yes	Yes, Bob Suci played for the New England Patriots.
Which office holder's military branch is Continental Army and vice president is John Adams?	George Washington	George Washington is the officeholder who belongs to the Continental Army branch and has vice president John Adams.
Where did the genres originate, which were in the Harry and the Potters album?	8	There are 8 stylistic origins of the genres of Harry and the Potters (album).
Who discovered Europa and Callisto?	Galileo Galilei	The discoverer of both Europa and Callisto is Galileo Galilei.
Which content license of the MSX BASIC is also the profession of the Laura K. Ipsen?	Microsoft	The content license of MSX BASIC and profession of the Laura K. Ipsen is Microsoft.
Which office's people have died on the US Route 165?	Allen Parish, Louisiana, Mayor of Oakdale, Louisiana, United States	The offices of the people died on the US Route 165 are Allen Parish, Louisiana, Mayor of Oakdale, Louisiana, United States.
Does the hudson river flow into the lower manhattan?	Yes	Yes, Lower Manhattan is the mouth mountain of Hudson River.
What is the main common interests of the Philip Novak and Timothy Morton?	Buddhism	The main interest of both Philip Novak and Timothy Morton is Buddhism.
Who is the spouse of Daniel Gibson?	Keyshia Cole	Keyshia Cole is Daniel Gibson spouse.
Was Tommy Tucker's Tooth animated by Walt Disney?	Yes	Yes, Walt Disney is the animator of Tommy Tucker's Tooth.
What common relegion affiliation exists for udit Raj and Wickramabahu Central College ?	Buddhism	Buddhism is the religion affiliation of both Udit Raj and Wickramabahu Central College.
Count the number of movies whose distributor is RKO Pictures and director of photography is Gregg Toland?	9	There are 9 movies distributed by RKO Pictures and with Gregg Toland as a director of photography.
Which company owns the airlines whose hub is in Detroit?	Ford Motor Company	The parent of the airline whose hubs is Detroit is Ford Motor Company.
What kind of games does Blizzard games develop?	answer	The genres of the video games developed by Blizzard Entertainment are answer.
Who is office holder of constituencies Duboce Triangle and Noe Valley?	Harvey Milk	Harvey Milk is the office holder whose constituencies are Duboce Triangle, San Francisco and Noe Valley, San Francisco.
Name the licensee of the WRVU who has the affiliation of Monroe Carell Jr. Children's Hospital at Vanderbilt?	Vanderbilt University	Vanderbilt University is the licensee of the WRVU and affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt.
Which rivers start at the Brower's Spring?	Missouri River	The river whose source mountain is at the Brower's Spring is Missouri River.
Count the awards received by Immunologists?	58	There are 58 awards received from people whose fieldwork is Immunology.
Which birthplace of Liliya Lobanova is also the location of the Snake Island?	Ukraine	Ukraine is the birthplace of Liliya Lobanova and location country of Snake Island.
is ANYway in the Quack album?	Yes	Yes, Quack is the album of ANYway.
Which hometown of pavel Moroz is also the palace of birthplace of Helena of Moscow ?	Moscow	Moscow is the hometown of Pavel Moroz and place of birth of Helena of Moscow.
What faith of Buddhist Tai Hung College is also the acadmeic interest of Paul Demiville ?	Buddhism	The field of Paul Demiville and religion of Buddhist Tai Hung College is Buddhism.
How many different currencies are used in the places governed by the president of France?	18	18 different currencies are used in the places governed by the president of France.
In which military conflict were Phm Vn ng and John McEwen commanders ?	Vietnam War	The military conflict with both Phm Vn ng and John McEwen as commanders is Vietnam War.
Which university's graduates have worked in the Quartermaster corps?	Walter F. George School of Law, Georgia Southwestern State University, Vanderbilt University, Cumberland University, University of Oxford, Gonzaga University	The alma maters of the people who worked in Quartermaster Corps military unit are Walter F. George School of Law, Georgia Southwestern State University, Vanderbilt University, Cumberland University, University of Oxford, Gonzaga University.
For all the senators who once studied in Sturm College of Law, give their burial place?	Denver, Colorado, Fort Logan National Cemetery	The resting place of the senators whose alma mater is Sturm College of Law are Denver, Colorado, Fort Logan National Cemetery.
Where did the office holder who has predecessor Marco Aurelio Robles died?	Panama	Panama is the place of death of the officeholder whose predecessor is Marco Aurelio Robles.
Is Shaun Thong a member of Audi?	Yes	Yes, Audi is the team of Shaun Thong.
Count the number of artists in the Cirque du Soleil discography?	17	There are 17 artist in Cirque du Soleil discography.
Which political party of Chandra Shekhar is also the political party of Datl Satyanarayana Raju?	Indian National Congress	The party of both Chandra Shekhar and Datla Satyanarayana Raju is Indian National Congress.
Which sitcom's company is Paramount Television and is located in Cheers Beacon hill?	Cheers	Cheers is the television show whose company is Paramount Television and is located in Cheers Beacon Hill.
From how many works is the musical derived, whose lyrics are written by Sheldon Harnick?	11	There are 11 works where musicals with lyrics from Sheldon Harnick were based.
Which is county seat of the King County, Washington and PLACE OF DEATH of the Phil Lumpkin ?	Seattle	Seattle is the county seat of the King County, Washington and place of death of the Phil Lumpkin.
How many sports are played in maharashtran schools?	60	There are 60 sports played in schools which are located in Maharashtra state.
How many teams have LA kings players in them currently?	78	There are 78 sport teams where players former team is LA Kings.
What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?	66	There are 66 resting places of the people whose one resting place is East Norwalk Historical Cemetery.
Was Kevin Jonas a part of Jonas brothers?	Yes	Yes, Kevin Jonas was a former band member of Jonas Brothers.
Was winston churchill the prime minister of Selwyn Lloyd?	Yes	Yes, Winston Churchill was the prime minister of Selwyn Lloyd.
Count the number of cities around the American Mediterranean Sea?	16	There are 16 cities around the American Mediterranean Sea.
What is the launch site of Aquarius (rocket) ?	Hawaii	The launch site of Aquarius (rocket) is Hawaii.
Name the river whose mouth country is Mozambique and source region is North-Western Province, Zambia?	Zambezi	Zambezi is the river whose mouth country is Mozambique and source region is North-Western Province, Zambia.
Count the number of religions followed by the alumini of Ananda College.	27	There are 27 relegions where the followers alma mater is Ananda College.
Name few movies directed by Tim Burton ?	answer	The movies whith director Tim Burton are answer.
Which companies have launched a rocket from Cape Canaveral Air Force station?	answer	The producers of the rockets which launch from Cape Canaveral Air Force Station are answer.
King crimson has been recorded in which places?	Japan, Tokyo, France, Fréjus, 1974 in music, Plymouth, United Kingdom, Detroit, Michigan, Eastown Theatre, Amsterdam, Netherlands, Concertgebouw, Woodstock, New York	The places where King Crimson work has been recorded are Japan, Tokyo, France, Fréjus, 1974 in music, Plymouth, United Kingdom, Detroit, Michigan, Eastown Theatre, Amsterdam, Netherlands, Concertgebouw, Woodstock, New York.
What is the route end of NorthSouth Transport Corridor ?	Mumbai	The route end of NorthSouth Transport Corridor is Mumbai.
What is the academic discipline of Journal of Cerebral Blood Flow & Metabolism ?	Brain, Cerebral blood flow, Neuroimaging	The academic disciplines of the Journal of Cerebral Blood Flow & Metabolism are Brain, Cerebral blood flow, Neuroimaging.
How many people live in Wilton, Connecticut?	9	There are 9 people whose official residence is Wilton, Connecticut.
Name the partners of the models whose one of the partner is Thom Evans ?	Billy Zane, Jason Statham, Thom Evans, David McIntosh (Gladiators)	The partner of the models whose partner is Thom Evans are Billy Zane, Jason Statham, Thom Evans, David McIntosh (Gladiators).
List the software which uses Microsoft Windows as their operating system ?	answer	The software running on the Microsoft Windows operating system are answer.
Which municipality is neighbored by Cologny and Chne-Bougeries?	Geneva, Vandœuvres	The municipalities neighbored by Cologny and Chne-Bougeries are Geneva, Vandœuvres.
List the former team of the american football players born in Pennsylvania ?	answer	The former teams of the american football players born in Pennsylvania are answer.
Which associate of Thomas bryan Martin is also the president of Carmichael?	George Washington	The associate of Thomas Bryan Martin and president of William Carmichael is George Washington.
Who is the producer of album, which has the song Eclipse ?	Pink Floyd	Pink Floyd is the producer of the album which has the song Eclipse.
List the former partner of the figure skaters whose former choreographer was Igor Shpillband.	Shawnee Smith, Brynn Carman, Andrea Poapst	The former partner of the figure skaters whose former choreographer is Igor Shpillband are Shawnee Smith, Brynn Carman, Andrea Poapst.
Jeff Munn is the president of which basketball team?	Harlem Globetrotters	Harlem Globetrotters is the basketball team whose president is Jeff Munn.
Name the common associate band of Blayse and Teddy Riley?	Blackstreet	The associated band of Blayse and Teddy Riley is Blackstreet.
List the people casted in Betsy's Wedding and 16 candles?	Molly Ringwald	The person starring in both Betsy's Wedding and Sixteen Candles is Molly Ringwald.
What are the movies directed by Joel Schumacher?	answer	The films directed by Joel Schumacher are answer.
How many movies have had a cinematographer who died in US?	849	There are 849 films whose director of photography died in United States.
List the outflows of the lake which has Benu river as one of it?	Benué River, Nile, Congo River, Zambezi	The outflows of the lake whose one outflow is Benu river are Benué River, Nile, Congo River, Zambezi.
What are some primates?	answer	The mammals whose order taxonomy is primate are answer.
With which musical artist is the music group which sung Mind Blowin' related to ?	Arabian Prince, Tupac Shakur, Chris Stokes (director), Shanice, IMx	The associated artists with the musical artist of Mind Blowin' song are Arabian Prince, Tupac Shakur, Chris Stokes (director), Shanice, IMx.
Who made the singles on the famous album Aida?	Elton John	The musical artist of the singles appeared on Elton John and Tim Rice's Aida album is Elton John.
Who is a famous relative of Aaround Van Heemstra?	Audrey Hepburn	Audrey Hepburn is the relative of Aarnoud van Heemstra.
What is the mascot of the alma mater of Deborah Crombie?	Kangaroo	The mascot of the alma mater of Deborah Crombie is Kangaroo.
Name the military units whose command structure's headquarters is The Pentagon?	answer	The military units whose command structure's headquarters is The Pentagon are answer.
How many awards have been awarded to people who are buried in Glendale, California?	16	There are 16 awards of the people whose resting place is Glendale, California.
In which races did Mouse Morris take part?	Johnny Henderson Grand Annual Chase, Cheltenham Gold Cup, Queen Mother Champion Chase, World Hurdle, Baring Bingham Novices' Hurdle, Supreme Novices' Hurdle, CGA Foxhunter Chase	The races Mouse Morris took part in Johnny Henderson Grand Annual Chase, Cheltenham Gold Cup, Queen Mother Champion Chase, World Hurdle, Baring Bingham Novices' Hurdle, Supreme Novices' Hurdle, CGA Foxhunter Chase.
How many people used to play in the youthclub of FC Barcelona?	319	There are 319 people whose youthclub is FC Barcelona.
What is the ethnicity of Linda Hogan?	Chickasaw	The ethnicity of Linda Hogan is Chickasaw.
Where were Micheal Santos and Wendy Jaquet born?	Seattle	Seattle is the common birthplace of Michael G. Santos and Wendy Jaquet.
In how many places have the companies started in Newcastle worked?	8	There are 8 region served for the companies whose foundation place is City of Newcastle .
What are all the prizes won by the writer of A Grand Day Out?	Academy Awards, Royal Designers for Industry, Order of the British Empire	The awards of the writer of A Grand Day Out are Academy Awards, Royal Designers for Industry, Order of the British Empire.
To which uni did sidney c patridge and cyril hume both once went?	Yale University	Yale University is the university where both Sidney Catlin Partridge and Cyril Hume attended.
Which president was served by someone whose lieutenant is Lewis Stuyvesant Chanler?	Calvin Coolidge, Warren G. Harding	The presidents of the person whose lieutenant is Lewis Stuyvesant Chanler are Calvin Coolidge, Warren G. Harding.
Which fictional character sculpted by Josh Friedmann was portrayed in Terminator 3 ?	John Connor	The fictional character made by Josh Friedman and portrayed in Terminator 3: Rise of the Machines is John Connor.
Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?	Syria	The architectural style of both Grand Serail of Aleppo and Shaheed Minar, Kolkata is Syria.
How many sports are played in organizations presided by Emanuel de Guzman?	45	There are 45 sports in the universities whose president is Emanuel de Guzman.
Did taylor swift do the theme song of The Farmer Wants a Wife?	Yes	Yes, Taylor Swift performed the opening theme of The Farmer Wants a Wife.
Food in which countries has shallot in it?	Indonesia, Thailand, Malaysia, India, Cambodia, Padang, Laos, Vietnam, Singapore, France	The countries of the foods with ingredient shallot are Indonesia, Thailand, Malaysia, India, Cambodia, Padang, Laos, Vietnam, Singapore, France.
List the schools of the athlete with Balgowan as one of the school?	Balgowan, KwaZulu-Natal, Michaelhouse, South Africa	The schools of the athletes whose one school is Balgowan, KwaZulu-Natal are Balgowan, KwaZulu-Natal, Michaelhouse, South Africa.
Where is the office of P Elmo Futrell Jr?	Louisiana, Rapides Parish, Louisiana, United States, Mayor of Pineville	The office of P. Elmo Futrell, Jr. is in Louisiana, Rapides Parish, Louisiana, United States, Mayor of Pineville.
What all are written in the C programming language?	answer	The software written in C programming language are answer.
Name the city whose province is Metropolitan City of Venice and has leader as Luigi Brugnaro?	Venice	Venice is the settlement whose province is the Metropolitan City of Venice and leader is Luigi Brugnaro.
Which company was founded by Fusajiro Yamauchi?	Nintendo	Nintendo is the company founded by Fusajiro Yamauchi.
What are the towns who have Thesaban system?	Lopburi, Patong, Map Ta Phut, Krabi, Ban Pong, Ratchaburi, Bueng Kan	The towns whose settlement type is Thesaban are Lopburi, Patong, Map Ta Phut, Krabi, Ban Pong, Ratchaburi, Bueng Kan.
Name the person who was educated at Harvard-Westlake and won the Screen Actor Guild Life Achievement Award ?	Shirley Temple	The person whose alma mater is Harvard-Westlake School and won the Screen Actors Guild Life Achievement Award is Shirley Temple.
For which country did Alexander Lippisch design airplanes?	Germany, Germany, United States, West Germany	The national origins of the aircrafts designed by Alexander Lippisch are Germany, Germany, United States, West Germany.
Tirana is the largest city of which country?	Albania	The country with Tirana as largest city is Albania.
Is Neungin High school a buddhist school?	Yes	Yes, Buddhism is the religion of Neungin High School.
What is the meaning of the Isa (name) which is also a relegion of Sacred Heart Convent School (Bangkok) ?	Jesus	Jesus is the meaning of Isa (name) and religion of Sacred Heart Convent School (Bangkok).
Who is the writer of The Sandman (Vertigo) ?	Neil Gaiman	Neil Gaiman is the writer of The Sandman (Vertigo).
Name some basketball players who have played for chicago bulls?	answer	The basketball players who have played for Chicago Bulls team are answer.
In which states can I find Truss bridges?	West Virginia, Ohio, Indiana, Oregon, Pennsylvania	The states where Truss bridges can be found are West Virginia, Ohio, Indiana, Oregon, Pennsylvania.
Count the total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia?	249	There are 249 mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia.
Name the university which has Lieutenaunt general as superintendent and mascot as Gyrfalcon ?	United States Air Force Academy	The university whose superintendent is Lieutenant general and mascot is Gyrfalcon is United States Air Force Academy.
Which awards did the creator of A Barrel of Laughs, a Vale of Tears won ?	Academy Awards, National Cartoonists Society, Pulitzer Prize, List of Eisner Award winners	The awards of the creators of A Barrel of Laughs, a Vale of Tears are Academy Awards, National Cartoonists Society, Pulitzer Prize, List of Eisner Award winners.
Who is the person who are on the board of Freedom of the City?	Samuel Pepys	The person who is on the board of the Freedom of the City is Samuel Pepys.
In which city wasthe Live at The Triple Door (The Courage album) performed?	Seattle	The city where the Live at The Triple Door (The Courage album) was recorded is Seattle.
Who have John Randolph of Roanoke as predecessor?	Andrew Stevenson, Joseph Lewis, Jr., James Stephenson (congressman), Thomas Bouldin, George William Crump, James Buchanan, John Tyler	The people whose predecessor was John Randolph of Roanoke are Andrew Stevenson, Joseph Lewis, Jr., James Stephenson (congressman), Thomas Bouldin, George William Crump, James Buchanan, John Tyler.
Who directed The Haunted House ?	Walt Disney	The director of The Haunted House film is Walt Disney.
What magazine published Allal and is the employer of Peter Bergman?	Rolling Stone	Rolling Stone is the publisher of Allal and the employer of Peter Bergman.
Which games publishers are located in California?	answer	The video games whose publishers are based in California are answer.
What is the common military branch of the Thomas Darden and that of Edwin F. Hunter?	United States Navy	United States Navy is the military branch of Thomas Darden and branch of Edwin F. Hunter.
Count the religions followed by people living in British Columbia.	14	There are 14 religions of the people who live in British Columbia.
Who was the architect of the stadium currently run by the Pittsburgh Pirates?	Louis D. Astorino, Populous (company), Pittsburgh, Fawley Bryant Architects, Bradenton, Florida	The architects of the stadium operated by Pittsburgh Pirates are Louis D. Astorino, Populous (company), Pittsburgh, Fawley Bryant Architects, Bradenton, Florida.
How many mammals are in the Chordate phylum?	8969	There are 8969 mammals with Chordate as phylum.
How many architects are there who have made something used by Oakland athletics?	11	There are 11 architect of the stadia whose tenant is Oakland Athletics .
Who are the shareholder of the broadcast networks whose owning company is Jamie Kellner?	Tribune Broadcasting, Jamie Kellner, Warner Bros., *, Time Warner	The owners of the broadcast networks whose owning company is Jamie Kellner are Tribune Broadcasting, Jamie Kellner, Warner Bros., *, Time Warner.
List the awards won by the spouse of Harriet Andersson?	Academy Awards, Goethe Prize, Praemium Imperiale	The awards of the partner of Harriet Andersson are Academy Awards, Goethe Prize, Praemium Imperiale.
What are some Louisiana based models known for?	'', Playboy, appearance, Playboy Cyber Club, Subject of John Singer Sargent's painting Portrait of Madame X	The known works of the models born in Louisiana are '', Playboy, appearance, Playboy Cyber Club, Subject of John Singer Sargent's painting Portrait of Madame X.
What is a salthill?	Galway	Salthill is an area in Galway.
Which astronauts went on the Gemini 8 mission?	Neil Armstrong, David Scott	The astronauts who participated in Gemini 8 mission are Neil Armstrong, David Scott.
Humes High School is alma mater to which person?	Elvis Presley	Elvis Presley is the person who graduated from Humes High School.
What is the name of the person who has relations with Dionne Warwick and Gary Garland?	Whitney Houston	Whitney Houston is the person whose relations are Dionne Warwick and Gary Garland.
Where did anton ausserer die?	Graz, Austria	Anton Ausserer died in Graz, Austria.
Name few companies founded in Texas?	answer	The companies founded in Texas are answer.
Who is the distributer of Rev ?	Bacardi	The distributor of Rev beverage is Bacardi.
In which companies boards do the writers of Wikitionary belong?	Creative Commons, Guardian Media Group, Sunlight Foundation, MIT Center for Collective Intelligence, Wikimedia Foundation	The boards of the writers of Wiktionary are Creative Commons, Guardian Media Group, Sunlight Foundation, MIT Center for Collective Intelligence, Wikimedia Foundation.
How many more teams have rented the stadium used by Raptors 905?	17	There are 17 tenants of the stadium which is the arena of Raptors 905.
